Full Name,Gender,Date of Birth,University_Name,Current Academic Year,Cumulative Grade Point Average (GPA),Preferred Learning Style,Average Weekly Study Hours,Attendance Regularity,Parental Education Level,Monthly Household Income,Participation in Extracurricular Activities,Social Media Spending Time,Sleeping Hours
John Neal,Female,3/15/1914,Rajarata University,3rd,2.62,Auditory,8.25,8,Ph.D.,High,Yes,4.82,9.3
Matthew Brown,Male,4/29/1912,Eastern University,3rd,2.66,Auditory,12.67,2,High School,Low,Yes,0.84,9.13
Patrick Williams,Female,5/31/1993,University of Kelaniya,2nd,3.43,Auditory,7.18,1,Master's,High,Yes,2.27,5.2
Allison Ruiz,Male,4/26/1918,Eastern University,4th,2.13,Auditory,26.54,7,Bachelor's,Medium,No,1.5,6.99
Alexandra Rose,Male,6/23/1994,University of Ruhuna,1st,2.16,Visual,24.9,9,High School,Low,Yes,3.32,9.68
Sean Parks,Female,11/7/1918,Rajarata University,1st,3.3,Kinesthetic,23.57,5,Master's,Medium,No,1.61,7.55
Maureen Smith,Female,11/22/2016,University of Colombo,1st,3.25,Auditory,10.07,7,High School,Low,No,1.25,6.23
Marc Key,Female,10/29/1923,Eastern University,1st,2.48,Visual,10.09,7,Master's,Low,No,1.13,9.81
Melissa Acosta,Male,3/12/1973,Eastern University,4th,3.61,Visual,25.07,7,Bachelor's,Medium,Yes,1.88,5.81
Paul Roberts,Male,11/3/1982,University of Kelaniya,1st,3.09,Visual,29.09,6,Bachelor's,Medium,Yes,1.58,8.08
Joel Rivera,Female,5/16/1950,University of Jaffna,2nd,2.41,Kinesthetic,21.47,7,Other,Low,Yes,2.87,9.53
Javier Prince,Female,1/3/1919,University of Colombo,2nd,2.09,Auditory,25.99,6,Ph.D.,Medium,No,2.83,5.98
Jermaine Fletcher,Male,7/14/1964,Eastern University,1st,2.77,Kinesthetic,18.01,9,Ph.D.,High,No,2.2,6.44
Beverly Lozano,Male,10/30/1946,Sabaragamuwa University,2nd,3.59,Visual,20.02,5,Other,High,No,2.75,4.14
Richard Price,Female,3/30/2011,University of Colombo,2nd,3.3,Visual,12.48,1,Ph.D.,Low,No,0.15,6.74
Jean Robinson,Male,6/17/1931,Sabaragamuwa University,3rd,3.63,Auditory,12.16,5,High School,High,No,3.57,9.48
Todd Willis,Female,11/7/1933,Rajarata University,2nd,3.6,Kinesthetic,19.26,3,High School,Medium,Yes,0.91,8.87
James Young,Female,3/2/1977,Eastern University,2nd,3.18,Visual,6.5,10,High School,Low,Yes,0.49,5.03
Cody Brown,Female,5/25/1959,Eastern University,4th,3.2,Visual,29.13,2,Other,Medium,Yes,0.93,6.7
Carrie Bishop,Female,3/8/1941,University of Moratuwa,1st,3.93,Auditory,5.6,1,Other,Medium,No,0.7,9.77
Michele Hunt,Female,3/4/1924,University of Moratuwa,3rd,2.72,Auditory,12.42,4,Master's,High,Yes,1.17,6.12
Shawn Gomez,Male,4/24/2005,University of Kelaniya,3rd,2.92,Auditory,24.91,8,Master's,Medium,No,4.28,5.06
Mark Black,Female,12/23/1918,University of Jaffna,1st,2.94,Visual,10.84,5,Master's,High,No,3.51,9.41
Tina Spears,Male,10/2/2012,University of Kelaniya,4th,3.94,Auditory,20.25,10,High School,Low,No,3.65,9.09
Lauren Henry,Female,12/25/2016,University of Kelaniya,2nd,2.73,Kinesthetic,7.73,8,Ph.D.,Medium,Yes,4.55,8.07
Cindy Adams,Female,1/1/1923,Eastern University,1st,3.9,Kinesthetic,28.86,4,Other,High,Yes,1,7.23
Christopher Smith,Male,2/24/2015,University of Moratuwa,4th,3.49,Auditory,7.33,7,Bachelor's,Medium,No,3.81,4.05
Brenda Buchanan,Female,9/18/1938,University of Moratuwa,3rd,3.86,Auditory,16.91,5,Master's,Low,No,2.64,5.46
Tracy Sanders,Male,10/27/1999,University of Moratuwa,1st,3.83,Kinesthetic,21.7,6,Ph.D.,Medium,Yes,2.11,9.86
Jody Morgan,Female,7/21/1945,University of Colombo,3rd,3.29,Auditory,15.7,7,Ph.D.,Medium,No,4.67,4.23
Stephen Norton,Female,8/1/1959,University of Peradeniya,1st,2.04,Kinesthetic,28.15,8,Bachelor's,High,No,2.34,5.17
Jesus Nguyen,Female,4/23/1990,Eastern University,1st,3.18,Auditory,22.62,2,Bachelor's,Medium,No,1.9,4.71
Andrew Wood,Male,4/4/1971,Rajarata University,1st,2.62,Visual,22.79,3,Other,High,Yes,0.32,8.88
Joseph Lopez,Female,6/5/1995,University of Kelaniya,3rd,2.28,Auditory,25.67,2,High School,Low,No,3.78,9.35
Michael Fitzgerald,Female,11/12/1953,University of Moratuwa,4th,2.96,Auditory,9.08,3,Bachelor's,Low,Yes,2.74,7.76
Scott Scott,Male,2/13/1915,University of Moratuwa,4th,3.94,Kinesthetic,28.63,5,Bachelor's,Low,No,0.95,9.64
Micheal Williams,Female,9/26/1947,University of Moratuwa,2nd,2.68,Auditory,6.98,10,Master's,Medium,No,2.63,9.59
Andrea Murray,Male,7/6/2010,Eastern University,4th,3.98,Visual,9.19,9,Master's,Low,No,3.93,8.95
Amber Lamb,Female,12/17/2000,University of Moratuwa,1st,3.49,Auditory,24.74,8,Bachelor's,Low,No,2.53,5.99
Julia Wilson,Male,5/1/2015,University of Jaffna,1st,2.39,Kinesthetic,12.83,7,Bachelor's,High,Yes,0.15,4.01
Brett Cannon,Male,3/28/1976,University of Kelaniya,4th,2.77,Visual,21.87,5,Ph.D.,Medium,No,1.79,4.14
Thomas Alexander,Female,12/18/1945,Eastern University,2nd,3.17,Kinesthetic,17.76,2,High School,High,Yes,1.49,9.39
Jeffery Fischer,Female,10/9/1963,University of Kelaniya,4th,3.39,Kinesthetic,5.68,6,Ph.D.,Medium,No,4.91,8.31
Amanda White,Male,2/6/1965,Sabaragamuwa University,1st,2.39,Visual,8.01,6,Bachelor's,Low,No,0.06,6.05
Carl Pitts DVM,Male,4/24/1936,University of Ruhuna,2nd,2.47,Kinesthetic,6.19,8,High School,Medium,Yes,1.57,4.28
Jeffrey Hawkins,Female,12/16/2008,University of Jaffna,1st,2.05,Kinesthetic,8.95,3,Bachelor's,Low,No,4.7,8.82
Joshua Harris,Female,9/29/1914,University of Colombo,3rd,3.19,Kinesthetic,12.15,2,Ph.D.,Low,No,2.68,7.35
Jeremy Jacobs,Female,5/10/1946,University of Colombo,2nd,3.73,Auditory,29.94,4,Ph.D.,Medium,No,1.83,6.82
Debbie Hall,Female,5/10/2021,University of Peradeniya,3rd,3.95,Visual,14.32,2,High School,Medium,No,0.89,6.37
Richard Garcia,Female,11/22/1972,University of Jaffna,3rd,3.46,Auditory,27.61,10,Bachelor's,High,Yes,3.75,9.23
Danielle Mitchell,Male,5/17/2017,University of Kelaniya,1st,2.72,Auditory,6.64,2,High School,High,Yes,4.67,4.86
Mary Harmon,Male,8/12/1908,University of Colombo,2nd,3.43,Auditory,21.61,4,Ph.D.,High,Yes,4.37,4.61
Shannon Martinez,Female,1/16/2002,University of Ruhuna,3rd,2.27,Auditory,8.15,10,High School,Medium,No,4.4,9.42
Bailey Mclaughlin,Male,6/14/1980,University of Colombo,3rd,2.75,Kinesthetic,8.78,7,Ph.D.,Medium,No,3.26,6.11
Michael Warner,Female,3/28/2007,University of Moratuwa,4th,2.58,Visual,15.14,9,Bachelor's,Low,No,3.15,4.78
Connie Decker,Male,2/8/1993,University of Peradeniya,4th,3.73,Kinesthetic,11.31,4,Ph.D.,High,No,2.37,4.06
Joseph Leonard,Male,11/17/2023,Eastern University,2nd,3.41,Auditory,10.47,10,Bachelor's,High,No,3.96,7.44
Mark Mitchell,Male,1/26/1947,Rajarata University,1st,3.62,Visual,15.37,1,Ph.D.,Medium,No,0.46,9.53
Robert Tran,Female,3/13/1994,Rajarata University,2nd,2.34,Auditory,8.83,3,Ph.D.,High,No,4.81,9.99
Kevin Johnson,Male,11/13/2005,University of Colombo,1st,2.68,Auditory,20.24,9,Other,High,Yes,1.48,9.03
James Daugherty,Female,4/24/1988,University of Kelaniya,2nd,3.73,Auditory,8.91,3,High School,High,Yes,0.3,6
Angela Hubbard,Male,9/6/1999,University of Kelaniya,1st,2.14,Kinesthetic,29.78,10,Bachelor's,High,Yes,2.29,5.58
Patricia Hudson,Female,12/1/2002,University of Moratuwa,2nd,2.18,Auditory,5.95,8,High School,Low,Yes,2.84,6.22
Cindy Oconnor,Male,6/3/1939,University of Colombo,1st,2.47,Auditory,15.47,7,Ph.D.,Medium,Yes,3.02,6.98
Olivia Gomez,Male,9/30/1940,University of Colombo,2nd,2.78,Auditory,13.76,8,Other,High,Yes,1.51,4.94
Lori Lester,Male,10/24/1954,Rajarata University,3rd,2.41,Auditory,14.18,3,Ph.D.,Low,Yes,0.41,7.47
Roy Fox,Male,8/26/1910,Sabaragamuwa University,2nd,2.7,Auditory,15.36,3,Ph.D.,High,Yes,1.7,5.56
Jesus Smith,Male,11/17/2012,University of Colombo,3rd,2.63,Visual,21.07,1,High School,Low,Yes,0.81,5.51
Matthew Guerrero,Female,12/23/2001,Eastern University,4th,3.55,Auditory,20.93,8,Ph.D.,High,Yes,3.55,6.78
Troy Castillo MD,Female,3/9/1923,University of Peradeniya,4th,3.71,Visual,24.56,2,Other,Medium,Yes,3.11,5.7
Deanna Munoz,Female,11/7/2002,University of Peradeniya,4th,2.47,Visual,6.35,2,High School,High,No,0.55,7.9
Samantha Floyd,Male,2/14/1946,Eastern University,2nd,3.47,Auditory,9.74,4,Master's,High,Yes,3.39,7.24
Anthony Johnson,Female,4/14/1978,Sabaragamuwa University,1st,3.86,Auditory,29.28,6,Ph.D.,Low,No,1.53,4.58
Tonya Cooper,Female,8/21/1964,University of Kelaniya,2nd,2.43,Auditory,16,1,Ph.D.,Low,No,1.76,9.15
Nicholas Barrett,Male,6/23/1959,Rajarata University,4th,2.7,Kinesthetic,6.68,4,High School,High,Yes,4.69,8.25
Michael Torres,Female,7/16/1978,University of Peradeniya,2nd,2.2,Auditory,6.28,4,High School,High,No,2.03,7.69
Joshua Oconnor,Female,2/23/2013,University of Jaffna,1st,3.79,Visual,27.65,7,Master's,High,Yes,3.82,9.29
Alex Burton,Male,12/6/1955,University of Ruhuna,3rd,3.8,Auditory,29.38,7,Master's,High,No,1.18,8.52
Andrew Perez,Female,12/26/1910,Rajarata University,2nd,2.22,Visual,28.03,9,Other,Low,Yes,0.9,6.57
Andrea Brown,Male,8/27/2006,Sabaragamuwa University,3rd,2.25,Visual,29.29,10,Bachelor's,High,Yes,4.73,5.96
Jenny Stafford,Male,4/25/2018,University of Jaffna,3rd,3.31,Visual,26.98,5,High School,Medium,Yes,0.03,7.45
Jeffrey Howard,Female,7/11/2001,University of Colombo,1st,2.49,Auditory,17.09,10,Other,High,Yes,2.12,5.78
Gary Hatfield,Female,1/25/1926,Eastern University,4th,2.28,Kinesthetic,29.28,5,Other,High,Yes,3.74,8.09
Janet Ortiz,Female,9/30/1956,University of Colombo,1st,2.41,Auditory,10.84,10,Master's,High,Yes,3.95,6.25
Joseph Fitzgerald,Male,9/10/1995,University of Moratuwa,1st,3.97,Auditory,17.69,3,Other,Low,Yes,3.26,5.27
Julie Williams,Female,1/27/2008,Eastern University,3rd,3.66,Kinesthetic,18.21,8,Bachelor's,Medium,Yes,0.94,8.46
Jennifer Myers,Male,10/18/2008,University of Jaffna,4th,2.94,Auditory,23.16,9,Master's,High,No,0.25,8.72
Charles Melton,Female,1/13/2015,University of Ruhuna,1st,3.38,Kinesthetic,29.58,4,Master's,Medium,No,0.68,4.18
Morgan Hernandez,Female,4/27/1982,University of Moratuwa,2nd,2.11,Visual,24.38,7,Other,Medium,Yes,0.11,5.22
Ryan Hoover,Male,12/24/1923,University of Kelaniya,1st,2.36,Kinesthetic,16.33,8,Other,Low,Yes,1.45,7.86
Alex Drake,Female,8/18/1956,University of Moratuwa,3rd,3.9,Visual,11.37,8,High School,Low,Yes,0.74,7.97
Richard Sutton,Female,3/12/2019,University of Peradeniya,3rd,3.89,Auditory,10.15,5,Ph.D.,Medium,Yes,1.39,7.07
Blake Pennington,Female,3/26/1923,Rajarata University,3rd,3.48,Kinesthetic,7.33,5,High School,Low,No,4.5,9.41
Lisa Ellis,Female,2/12/2016,Sabaragamuwa University,3rd,2.74,Kinesthetic,7.57,8,Master's,Low,No,0.05,8.03
Lance King,Male,8/8/1949,University of Colombo,4th,3.26,Auditory,21.18,4,Other,High,No,0.78,9.75
Morgan Johnson,Male,6/7/1976,University of Kelaniya,3rd,3.48,Visual,6.79,3,High School,Low,Yes,4.69,6.9
Amanda Davis,Female,4/3/2002,Sabaragamuwa University,2nd,2.3,Visual,21.91,5,Bachelor's,High,Yes,4.97,8.97
Chris Young,Female,9/2/1918,University of Moratuwa,2nd,3.63,Auditory,26.89,6,Other,Medium,No,2.51,7.67
Nicolas Sullivan,Female,12/4/1920,University of Ruhuna,4th,2.15,Auditory,18.91,8,Ph.D.,Low,No,1.58,4.63
Johnathan Long,Female,5/20/1963,University of Colombo,1st,3.03,Visual,26.34,2,Other,Low,No,4.96,9.24
Steven Pierce,Male,10/17/2012,University of Kelaniya,1st,2.06,Auditory,22.41,10,Other,High,Yes,1.01,6.96
Patricia Duncan,Female,6/11/2020,Sabaragamuwa University,4th,3.14,Kinesthetic,15.09,6,Bachelor's,High,No,2.41,6.58
Michael Bryant,Male,10/17/1983,University of Colombo,3rd,2.43,Visual,7.67,6,Ph.D.,Low,Yes,1.48,5.36
Jennifer Crawford,Male,2/7/1930,University of Colombo,1st,3.46,Kinesthetic,6.56,5,Bachelor's,High,Yes,0.1,8.23
Patrick Johnson,Male,12/6/1999,University of Kelaniya,2nd,3.01,Auditory,22.99,10,Bachelor's,Low,Yes,3.08,4.8
Lauren Parsons,Male,7/15/1951,University of Jaffna,2nd,3.17,Visual,26.05,7,Master's,High,No,0.7,7.3
Michael Clark,Male,7/21/1938,Rajarata University,3rd,2.43,Auditory,18.66,9,Master's,High,No,0.27,9.26
Gina Good,Male,4/27/1976,University of Jaffna,2nd,2.44,Auditory,17.53,5,Master's,Low,No,0.11,7.01
Christine Knight,Male,4/10/1959,University of Colombo,2nd,2.09,Visual,17.19,8,Ph.D.,Medium,No,1.59,8.07
Warren Middleton,Male,2/13/1968,Eastern University,2nd,3.31,Kinesthetic,13.23,3,Master's,Medium,Yes,3.71,7.18
Michelle Maldonado,Male,6/18/2020,University of Kelaniya,4th,2.13,Kinesthetic,24.92,8,High School,Medium,No,2.75,9.16
Thomas Lam,Male,5/6/1912,University of Colombo,3rd,3.03,Visual,24.03,7,Other,Medium,Yes,4.12,4.58
Paul Smith,Male,3/23/2009,University of Colombo,1st,3.3,Auditory,13.99,1,Master's,High,Yes,2.21,5.16
Krystal Farley,Male,3/6/1958,University of Ruhuna,4th,2.16,Kinesthetic,19.74,5,Master's,Medium,No,0.72,7.97
Mario Morris,Male,12/30/2005,Rajarata University,3rd,3.29,Auditory,7.99,2,High School,Low,Yes,4.4,8.29
Lindsay Archer,Female,7/8/2009,University of Ruhuna,1st,3.12,Auditory,20.76,3,Other,High,Yes,1.13,7.98
Charles Williams,Female,5/14/1993,University of Kelaniya,1st,3.98,Auditory,15.73,9,Other,High,Yes,1.92,4.91
Timothy Fry,Male,11/6/1962,University of Peradeniya,1st,2.85,Kinesthetic,10.9,2,High School,High,Yes,1.49,4.89
Dr. Robert Osborne,Male,5/31/1968,University of Jaffna,4th,3.86,Auditory,10.13,8,Ph.D.,High,Yes,3.31,4.07
Chelsea Dunn,Male,1/14/1977,University of Ruhuna,3rd,2.32,Visual,17.96,8,Ph.D.,Low,No,1.53,4.76
Travis Thompson,Female,10/9/1953,University of Kelaniya,4th,3.72,Auditory,6.43,2,High School,Medium,No,0.5,9.73
Matthew Moore,Female,8/31/1990,University of Jaffna,3rd,3.65,Kinesthetic,21.2,8,Bachelor's,Medium,No,0.63,8.52
Jonathan Hogan,Male,1/16/2007,University of Kelaniya,2nd,3.02,Visual,6.69,2,Ph.D.,High,No,0.58,9.09
Nicole Baker,Female,12/24/1946,University of Peradeniya,3rd,3.12,Visual,14.1,7,Bachelor's,High,No,4.41,7.74
Jeffrey Ewing,Female,8/13/2018,Rajarata University,3rd,2.81,Kinesthetic,6.98,10,Master's,High,No,0.67,5.74
Theresa Medina,Male,3/2/1973,Rajarata University,3rd,3.84,Visual,26.45,10,High School,Medium,No,2.82,8.02
Wanda Lee,Female,12/15/1941,University of Kelaniya,2nd,3.46,Auditory,29.67,5,Other,Low,No,2.18,7.44
Rebecca Kirk,Female,10/9/1926,University of Ruhuna,4th,3.27,Kinesthetic,26.94,5,High School,Low,Yes,1.71,7.28
Brittney Guerrero,Female,2/24/1992,Rajarata University,4th,3.09,Visual,24.04,5,Ph.D.,Medium,Yes,2.6,7.25
Kristine Ward,Female,7/1/1940,Eastern University,1st,2.53,Visual,5.24,3,High School,Medium,No,3.15,7.26
Kristina Jenkins,Male,9/21/2001,University of Ruhuna,2nd,2.41,Visual,6.22,9,Ph.D.,Low,No,2.46,9.31
Regina Perez,Male,9/27/2017,Sabaragamuwa University,2nd,2.64,Auditory,5.47,4,Other,Medium,No,3.22,5.42
Joseph Pugh,Male,10/12/1948,University of Moratuwa,3rd,3.99,Kinesthetic,27.59,10,Bachelor's,High,Yes,4.58,6.26
Lynn Burton,Female,9/27/1951,University of Kelaniya,4th,3.62,Auditory,22.67,7,High School,Medium,No,4.44,7.94
Nicholas Wright PhD,Female,11/25/1942,University of Kelaniya,1st,3.81,Auditory,6.75,4,Bachelor's,Medium,Yes,4.45,7.52
Tony House,Male,7/20/1937,University of Kelaniya,3rd,2.84,Auditory,19.28,3,Bachelor's,Medium,Yes,3.82,9.73
Jerome Manning,Male,9/27/2023,University of Peradeniya,1st,3.97,Kinesthetic,12.28,5,Bachelor's,Low,No,0.68,9.29
Jordan Roman,Male,11/28/2003,University of Kelaniya,4th,2.5,Visual,15.86,8,Ph.D.,Low,No,2.6,7.03
Tina Martin,Male,3/29/2008,Rajarata University,2nd,3.89,Auditory,13.21,1,Bachelor's,Low,Yes,2.97,5.97
Tanya Walters,Male,2/8/1911,Rajarata University,1st,3.01,Visual,15.83,1,Master's,Medium,No,2.29,4.22
Dawn Macias,Female,5/15/2018,University of Moratuwa,1st,3.12,Auditory,13.48,5,Master's,Low,Yes,2.88,6.61
Lisa Davis,Male,6/18/2003,University of Moratuwa,4th,2.72,Kinesthetic,19.79,3,Bachelor's,Low,Yes,3.08,6.3
Adam King,Female,5/24/2003,University of Ruhuna,2nd,3.09,Auditory,25.25,10,Other,Medium,No,1.25,5.5
Jasmine Rowe,Male,5/19/2015,Rajarata University,3rd,3.98,Visual,9.84,6,High School,High,No,1.07,7.9
Jean Beard,Male,8/27/1955,Rajarata University,3rd,2.9,Visual,16.11,6,Master's,Low,Yes,2.85,9.64
John Gallegos,Female,10/22/1916,University of Peradeniya,4th,3.32,Auditory,5.1,5,Bachelor's,Medium,No,2.6,6.76
Michael Murphy,Male,12/12/1973,Rajarata University,2nd,3.64,Kinesthetic,18.55,8,Bachelor's,High,Yes,2.46,7.17
John Boyd,Female,1/12/1970,Rajarata University,4th,2.87,Kinesthetic,15.42,2,Bachelor's,High,No,0.7,7.97
Keith Reed,Female,12/9/1932,Eastern University,4th,2.07,Visual,28.44,3,Ph.D.,High,Yes,2.51,8.93
Connor Rodriguez,Male,1/4/1994,Eastern University,4th,2.82,Auditory,6.58,1,Master's,Medium,Yes,0.04,8.31
Amanda Hebert,Male,3/5/2022,Rajarata University,4th,2.99,Kinesthetic,29.58,1,Master's,Low,Yes,2.24,8.04
Theresa Edwards,Female,12/24/1990,Rajarata University,2nd,2.1,Kinesthetic,15.58,8,Master's,Medium,Yes,0.3,7.76
Victoria Hubbard,Female,1/6/2000,Rajarata University,1st,2.56,Kinesthetic,10.13,4,Master's,Low,No,2.33,6.61
Michael Larson,Female,7/13/1997,University of Moratuwa,2nd,2.84,Kinesthetic,7.06,2,Other,Medium,No,1.74,5.1
Eric Brown,Female,11/29/2001,University of Colombo,4th,2.55,Auditory,8.54,7,High School,Low,Yes,2.26,6.53
Cesar Castillo,Male,5/28/1926,Eastern University,2nd,3.86,Auditory,26.51,9,Ph.D.,High,No,1.74,6.42
Pamela Williams,Female,2/21/1978,Sabaragamuwa University,4th,3.31,Kinesthetic,20.83,1,Master's,High,Yes,1.1,7.05
Amanda Peters,Male,6/16/1978,University of Ruhuna,2nd,3.87,Kinesthetic,9.33,9,Other,High,No,0.38,5.61
Lynn Herring,Female,4/12/2009,University of Ruhuna,2nd,3.06,Kinesthetic,16.77,1,Master's,Medium,Yes,2.09,9.33
Kevin Miller,Male,9/9/1958,University of Colombo,4th,3.97,Kinesthetic,29.12,7,Ph.D.,Low,No,3.16,4.96
Robin Harris,Female,1/27/1938,University of Peradeniya,3rd,3.44,Kinesthetic,9.85,9,High School,High,Yes,3.47,5.42
Michael King,Male,2/21/1970,Sabaragamuwa University,3rd,2.54,Visual,29.63,3,Master's,Medium,Yes,3.76,9.53
Timothy Lutz,Female,2/24/1965,University of Ruhuna,4th,2.55,Kinesthetic,15.59,5,Bachelor's,Medium,Yes,0.61,5.37
Steven Tran,Male,11/4/1909,University of Jaffna,1st,3.38,Kinesthetic,27.53,3,Other,Medium,Yes,2.29,9.88
Kevin May,Male,7/20/1913,University of Kelaniya,1st,3.89,Auditory,7.77,4,Ph.D.,Medium,Yes,2.14,9.55
Peter Meyers,Female,9/17/1929,University of Jaffna,1st,3.17,Visual,26.69,10,Other,Medium,No,1.56,9.84
Matthew Bryant,Male,1/11/1965,University of Peradeniya,2nd,3.37,Kinesthetic,11.88,10,High School,High,Yes,0.07,5.83
Jimmy Moore,Female,4/13/1984,Sabaragamuwa University,1st,2.94,Auditory,5.1,8,Master's,High,No,4.95,5.87
Matthew Alvarez,Female,4/29/1968,University of Ruhuna,3rd,3.76,Auditory,7.32,8,Other,High,No,3.69,4.41
Kimberly Hoover,Female,7/31/1974,University of Kelaniya,2nd,3.15,Auditory,8.64,7,High School,Medium,Yes,2.8,6.76
Robert Miller,Male,12/19/2022,Eastern University,3rd,3.62,Kinesthetic,22.14,8,Master's,High,Yes,0.58,8.38
Harold Hayes,Male,1/22/1918,University of Ruhuna,2nd,3.81,Auditory,23.69,6,Ph.D.,Medium,Yes,0.13,9.75
Kayla Archer,Male,2/15/1951,University of Ruhuna,2nd,2.51,Auditory,27.08,4,Ph.D.,Low,No,1.05,5.81
Barbara Stewart,Male,2/26/1971,University of Peradeniya,3rd,2.29,Visual,27.6,3,Master's,High,Yes,0.1,8.36
Nicholas Smith,Male,8/11/1999,University of Ruhuna,2nd,3.66,Kinesthetic,22.54,10,High School,Medium,No,4.32,9.54
Cheryl Gutierrez,Male,5/28/2010,Sabaragamuwa University,4th,2.31,Kinesthetic,29.55,10,Ph.D.,Medium,No,3.25,6.75
Eric Price,Male,11/3/1979,University of Colombo,2nd,3.79,Auditory,29.95,10,Other,Medium,Yes,0.61,4.4
Randall Dawson,Male,12/9/1983,Sabaragamuwa University,2nd,2.53,Auditory,8.22,9,Master's,Low,Yes,2.98,9.77
Russell Jones,Male,8/21/2011,Eastern University,1st,3.17,Auditory,14.69,4,Other,Low,No,3.65,4.5
Henry Winters,Male,10/6/1999,University of Colombo,3rd,2.07,Auditory,9.06,10,High School,Low,No,3.35,8.68
Megan Hart,Male,4/6/1975,University of Ruhuna,4th,2.6,Auditory,10.85,2,Ph.D.,High,No,2.22,5.77
Jennifer Johnson,Female,4/22/1909,University of Ruhuna,3rd,2.77,Visual,8.35,9,Other,Low,No,1.69,9.68
Cheryl Hughes,Female,10/3/1955,University of Kelaniya,4th,3.15,Visual,29.64,8,High School,Medium,Yes,3.11,7.86
Caleb Bell,Male,2/12/1916,University of Ruhuna,1st,3.55,Auditory,29.79,6,Ph.D.,Medium,No,1.48,5.86
Luis Valdez,Male,8/7/2019,Rajarata University,3rd,3.63,Visual,10.8,10,High School,Medium,Yes,4.76,7.81
Jesus Spencer,Female,10/13/2003,Eastern University,1st,3.65,Kinesthetic,8.54,10,Other,Low,No,4.48,6.18
Kathleen Miller,Male,1/10/1948,University of Moratuwa,2nd,2.38,Visual,7.54,1,High School,High,Yes,2.79,5.15
Scott Gibbs,Female,7/18/1919,University of Kelaniya,4th,3.35,Auditory,22.88,6,Bachelor's,Low,No,2.78,9.99
Deborah Wong,Female,4/29/1973,University of Jaffna,3rd,3.51,Visual,25.48,9,Master's,High,No,1.68,5.55
Ronald Cook,Female,9/26/1948,University of Colombo,3rd,2.67,Kinesthetic,15.93,9,Ph.D.,High,No,0.05,9.13
Kaitlin Johnson,Female,10/17/1991,University of Moratuwa,4th,3.25,Auditory,5.78,5,High School,Medium,No,4.01,8.12
Lori Mitchell,Female,1/7/2005,University of Ruhuna,4th,2.71,Auditory,22.62,2,Ph.D.,Low,No,0.81,7.85
James Moore,Male,2/21/1977,Sabaragamuwa University,1st,3.02,Visual,17.51,10,High School,High,Yes,4.58,9.48
Bridget Thompson,Female,10/26/2002,Rajarata University,4th,2.83,Visual,29.99,5,Bachelor's,Medium,Yes,2.87,7.25
Margaret Sanchez,Male,11/16/1908,University of Colombo,3rd,3.05,Auditory,29.87,9,Other,Medium,No,0.14,8.51
Lori Dougherty,Male,12/22/1934,University of Colombo,1st,3.89,Visual,7.74,3,Other,Low,Yes,4.31,4.44
Dr. Michael Williams,Female,11/6/1957,University of Colombo,2nd,2.55,Kinesthetic,18.77,5,Bachelor's,Low,No,2.78,8.97
Douglas Jackson,Female,11/1/1961,Eastern University,2nd,3.56,Kinesthetic,10.05,7,Bachelor's,High,No,0.09,4.91
Darrell Johns,Male,3/3/2002,University of Colombo,3rd,3.67,Visual,19.7,5,Master's,Medium,No,3.27,9.03
Shawn Taylor,Female,4/1/1928,University of Kelaniya,4th,3.08,Visual,22.19,2,Other,Medium,Yes,2.79,7.16
Alexis Conrad,Male,5/7/1974,Sabaragamuwa University,2nd,2.5,Auditory,18.58,2,Other,Low,Yes,2.93,8.2
James Solis,Female,4/17/1970,University of Kelaniya,2nd,2.68,Visual,9.8,9,Ph.D.,High,Yes,2.04,8.82
Mrs. Samantha Hicks MD,Female,1/18/1983,University of Kelaniya,3rd,2.55,Auditory,19.75,9,High School,High,No,3.57,8.85
Ashley Carr,Male,6/25/1909,Rajarata University,3rd,2.48,Auditory,9.8,1,Master's,Low,No,1.43,5.81
Megan James,Female,12/18/1912,Sabaragamuwa University,2nd,2.91,Kinesthetic,13.73,4,Ph.D.,Low,Yes,0.78,7.5
Jeffrey Mcintyre,Female,6/9/1918,Rajarata University,2nd,3.63,Auditory,17.61,5,High School,High,No,4.06,9.49
David Taylor,Male,7/11/1953,University of Colombo,3rd,3.69,Auditory,21.84,7,Ph.D.,Medium,No,2.75,6.36
Kim Jones,Female,3/26/1977,University of Colombo,1st,3.3,Auditory,11.24,8,Ph.D.,High,No,1.16,4.65
Matthew Church,Female,1/14/1993,University of Kelaniya,4th,2.34,Auditory,27.71,1,Master's,Low,Yes,2.75,9.94
Jeffrey Ruiz,Female,5/26/1983,University of Kelaniya,3rd,2.83,Visual,23.34,1,Other,Medium,Yes,1.1,9.55
James Brewer,Male,5/13/1920,University of Colombo,2nd,2.44,Kinesthetic,16.17,7,Ph.D.,High,Yes,0.84,4.77
Kevin Houston,Female,4/30/2008,University of Peradeniya,2nd,2.69,Visual,27.96,2,Master's,Low,Yes,1.83,4.37
Dr. Jacqueline Johnson DDS,Male,8/27/1953,Eastern University,2nd,2.89,Auditory,26.54,7,High School,Low,No,1.96,9.64
David Williams,Male,8/4/2002,University of Moratuwa,4th,3.01,Kinesthetic,18.24,10,High School,Medium,No,3.95,7.07
Robert Maynard,Male,9/30/1927,University of Ruhuna,1st,2.14,Visual,8.54,4,High School,High,Yes,1.48,9.26
